Algorytm,Liczba tx,Liczba powtorzen,Mediana [ms],Srednia [ms],Odchylenie std [ms],Min [ms],Max [ms]
dilithium,10,50,0.655,0.876,1.174,0.385,8.875
dilithium,50,50,3.386,3.679,1.160,2.345,9.044
dilithium,100,50,6.661,7.379,2.671,5.016,19.290
dilithium,200,50,12.869,14.007,4.176,10.058,32.011
dilithium,500,50,40.458,46.548,18.695,26.380,103.295
dilithium,1000,50,74.567,87.271,24.225,66.900,173.813
dilithium,1500,50,129.038,141.032,37.798,104.096,241.388
dilithium,2000,50,135.079,141.730,29.383,113.444,251.530
ecdsa,10,50,0.645,0.725,0.398,0.399,2.907
ecdsa,50,50,3.632,4.613,2.357,2.591,13.489
ecdsa,100,50,6.421,6.466,0.912,5.314,8.760
ecdsa,200,50,13.980,14.895,3.551,10.719,28.223
ecdsa,500,50,32.701,36.352,8.011,28.926,68.170
ecdsa,1000,50,65.006,71.772,12.693,60.847,108.867
ecdsa,1500,50,109.750,113.417,21.534,90.329,191.518
ecdsa,2000,50,161.296,185.723,67.261,124.508,420.606
sphincs,10,50,23.845,26.533,9.402,20.243,74.772
sphincs,50,50,187.317,209.549,90.404,112.005,480.144
sphincs,100,50,260.532,280.789,70.116,204.402,492.173
sphincs,200,50,460.481,470.551,40.146,405.809,603.707
sphincs,500,50,1141.257,1154.400,80.798,1053.828,1441.219
sphincs,1000,50,2281.611,2395.704,278.643,2102.824,3093.898
sphincs,1500,50,3409.971,3466.906,186.443,3234.798,4237.515
sphincs,2000,50,4938.319,5412.654,1302.964,4161.071,10644.813
