ECDSA — 500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,151,50,4.301,1.274,1.161,10.436,0.127
1000,148,47,4.654,1.250,1.609,12.405,0.112
1500,156,55,4.904,1.294,1.085,11.354,0.136
2000,149,48,5.002,1.332,2.002,12.039,0.134
4000,150,48,5.313,1.374,0.919,11.766,0.114

ECDSA — 1000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,170,69,5.597,1.527,0.777,15.384,0.102
1000,174,72,6.201,1.677,1.721,15.311,0.179
1500,180,79,6.517,1.675,2.037,15.065,0.149
2000,190,89,6.795,1.804,1.447,14.359,0.129
4000,191,90,7.256,1.916,1.989,16.498,0.192

ECDSA — 1500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,194,93,7.203,2.030,1.590,18.091,0.158
1000,208,107,7.920,2.072,1.924,21.161,0.184
1500,200,99,8.238,2.043,1.762,18.419,0.230
2000,210,109,8.564,2.127,1.697,18.465,0.279
4000,215,114,9.092,2.300,1.472,22.363,0.247

ECDSA — 2000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,223,122,8.691,2.343,2.231,26.310,0.242
1000,230,129,9.553,2.382,0.720,25.656,0.295
1500,239,138,10.053,2.461,1.450,23.667,0.152
2000,238,137,10.325,2.670,2.392,25.680,0.230
4000,247,146,11.382,3.039,2.207,29.472,0.315

Dilithium2 (ML-DSA-44) — 500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,412,311,23.538,9.171,0.143,75.064,1.792
1000,463,362,24.113,9.359,0.004,78.816,3.491
1500,556,456,21.955,11.584,0.006,76.442,4.336
2000,459,358,27.191,9.864,0.007,75.659,3.241
4000,649,548,23.328,12.626,0.003,86.664,6.681

Dilithium2 (ML-DSA-44) — 1000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,1881,1780,12.387,14.586,0.003,91.174,2.622
1000,2619,2518,10.319,13.881,0.000,105.739,2.687
1500,4018,3918,6.515,10.793,0.000,100.681,1.045
2000,5756,5656,4.977,9.535,0.000,106.569,1.577
4000,8917,8816,3.204,6.795,0.000,94.647,0.509

Dilithium2 (ML-DSA-44) — 1500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,8504,8404,3.843,6.701,0.000,114.012,0.416
1000,13750,13648,2.462,4.594,0.000,96.604,0.298
1500,16007,15906,2.230,4.220,0.000,108.304,0.408
2000,20016,19915,1.788,3.308,0.000,94.529,0.265
4000,28748,28647,1.304,2.641,0.000,116.949,0.216

Dilithium2 (ML-DSA-44) — 2000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,18886,18785,1.854,2.844,0.000,104.787,0.223
1000,29487,29386,1.229,1.791,0.000,94.776,0.140
1500,33693,33592,1.153,1.791,0.000,103.018,0.102
2000,38910,38810,1.033,1.467,0.000,106.628,0.116
4000,63892,63792,0.692,1.008,0.000,117.072,0.071

SPHINCS+ (SLH-DSA) — 500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,3196,3095,9.082,13.163,0.002,96.579,1.115
1000,6790,6689,4.750,9.336,0.000,108.576,0.851
1500,7774,7674,4.532,8.665,0.000,106.667,1.280
2000,10238,10138,3.520,7.546,0.000,97.646,0.796
4000,16445,16344,2.326,5.656,0.000,116.791,0.495

SPHINCS+ (SLH-DSA) — 1000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,34983,34882,1.345,1.841,0.000,105.252,0.124
1000,54098,53997,0.938,1.431,0.000,123.123,0.122
1500,68108,68008,0.764,1.186,0.000,109.973,0.056
2000,87116,87015,0.618,1.126,0.000,125.277,0.077
4000,138282,138181,0.412,0.658,0.000,117.330,0.035

SPHINCS+ (SLH-DSA) — 1500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,80093,79992,0.717,1.144,0.000,140.111,0.028
1000,125672,125571,0.506,0.853,0.000,154.043,0.029
1500,163629,163528,0.415,0.752,0.000,160.513,0.023
2000,203546,203445,0.347,0.617,0.000,165.673,0.021
4000,324651,324550,0.242,0.473,0.000,169.102,0.019

SPHINCS+ (SLH-DSA) — 2000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,118585,118484,0.601,0.978,0.000,201.426,0.027
1000,199726,199625,0.400,0.692,0.000,185.420,0.018
1500,268642,268541,0.317,0.605,0.000,194.680,0.012
2000,325607,325506,0.275,0.596,0.000,213.437,0.009
4000,569264,569162,0.176,0.408,0.000,200.912,0.009

