ECDSA — 500 tx  (weryfikacja CPU = 0.059 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,0.059,4.387,1.34
1000,0.059,4.735,1.25
1500,0.059,4.937,1.19
2000,0.059,5.155,1.14
4000,0.059,5.547,1.06

ECDSA — 1000 tx  (weryfikacja CPU = 0.141 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,0.141,5.914,2.38
1000,0.141,6.414,2.20
1500,0.141,6.787,2.08
2000,0.141,7.044,2.00
4000,0.141,7.590,1.86

ECDSA — 1500 tx  (weryfikacja CPU = 0.217 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,0.217,7.457,2.91
1000,0.217,8.223,2.64
1500,0.217,8.783,2.47
2000,0.217,8.911,2.44
4000,0.217,9.722,2.23

ECDSA — 2000 tx  (weryfikacja CPU = 0.255 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,0.255,8.999,2.83
1000,0.255,9.909,2.57
1500,0.255,10.503,2.43
2000,0.255,10.690,2.39
4000,0.255,11.676,2.18

Dilithium2 (ML-DSA-44) — 500 tx  (weryfikacja CPU = 0.111 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,0.111,24.718,0.45
1000,0.111,25.381,0.44
1500,0.111,23.249,0.48
2000,0.111,23.920,0.46
4000,0.111,24.659,0.45

Dilithium2 (ML-DSA-44) — 1000 tx  (weryfikacja CPU = 0.114 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,0.114,11.668,0.98
1000,0.114,7.446,1.53
1500,0.114,5.700,2.00
2000,0.114,5.246,2.17
4000,0.114,4.155,2.74

Dilithium2 (ML-DSA-44) — 1500 tx  (weryfikacja CPU = 0.253 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,0.253,3.634,6.96
1000,0.253,2.398,10.55
1500,0.253,1.878,13.47
2000,0.253,1.642,15.41
4000,0.253,0.989,25.58

Dilithium2 (ML-DSA-44) — 2000 tx  (weryfikacja CPU = 0.233 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,0.233,1.768,13.18
1000,0.233,1.295,17.99
1500,0.233,1.143,20.39
2000,0.233,0.922,25.26
4000,0.233,0.676,34.49

SPHINCS+ (SLH-DSA) — 500 tx  (weryfikacja CPU = 1.514 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,1.514,8.522,17.77
1000,1.514,5.392,28.08
1500,1.514,4.069,37.21
2000,1.514,3.452,43.86
4000,1.514,2.280,66.42

SPHINCS+ (SLH-DSA) — 1000 tx  (weryfikacja CPU = 3.267 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,3.267,1.274,256.50
1000,3.267,0.975,334.94
1500,3.267,0.828,394.55
2000,3.267,0.698,468.30
4000,3.267,0.512,638.68

SPHINCS+ (SLH-DSA) — 1500 tx  (weryfikacja CPU = 3.881 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,3.881,0.821,472.48
1000,3.881,0.539,719.48
1500,3.881,0.417,931.80
2000,3.881,0.352,1102.87
4000,3.881,0.230,1684.19

SPHINCS+ (SLH-DSA) — 2000 tx  (weryfikacja CPU = 5.105 s)
N,Czas weryfikacji CPU [s],Średni czas propagacji (Mean) [s],Udział weryfikacji w propagacji [%]
500,5.105,0.615,829.78
1000,5.105,0.403,1267.58
1500,5.105,0.312,1636.69
2000,5.105,0.262,1949.15
4000,5.105,0.170,3010.75

