ECDSA — 500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

ECDSA — 1000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

ECDSA — 1500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

ECDSA — 2000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

Dilithium2 (ML-DSA-44) — 500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

Dilithium2 (ML-DSA-44) — 1000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

Dilithium2 (ML-DSA-44) — 1500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

Dilithium2 (ML-DSA-44) — 2000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

SPHINCS+ (SLH-DSA) — 500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

SPHINCS+ (SLH-DSA) — 1000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

SPHINCS+ (SLH-DSA) — 1500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

SPHINCS+ (SLH-DSA) — 2000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,147,46,4.311,1.114,2.143,7.953,0.000
1000,147,46,4.311,1.114,2.143,7.953,0.000
1500,147,46,4.311,1.114,2.143,7.953,0.000
2000,147,46,4.311,1.114,2.143,7.953,0.000
4000,147,46,4.311,1.114,2.143,7.953,0.000

