ECDSA — 500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,151,50,4.124,1.080,1.771,10.436,0.117
1000,148,47,4.492,1.059,2.428,12.405,0.118
1500,156,55,4.697,1.064,3.312,10.333,0.109
2000,149,48,4.781,1.039,2.077,10.763,0.124
4000,150,48,5.158,1.105,3.324,10.516,0.099

ECDSA — 1000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,170,69,5.407,1.263,3.715,13.277,0.111
1000,174,72,6.033,1.403,3.588,15.311,0.177
1500,180,79,6.227,1.276,2.964,13.520,0.103
2000,190,89,6.444,1.284,3.143,13.734,0.114
4000,191,90,6.958,1.368,3.740,14.058,0.156

ECDSA — 1500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,194,93,6.954,1.620,3.929,15.542,0.151
1000,208,107,7.604,1.530,5.291,16.855,0.184
1500,200,99,7.884,1.488,4.682,16.617,0.121
2000,210,109,8.129,1.467,4.124,17.282,0.154
4000,215,114,8.769,1.568,4.838,16.191,0.171

ECDSA — 2000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,223,122,8.353,1.824,4.711,25.209,0.106
1000,230,129,9.241,1.822,6.491,20.947,0.222
1500,239,138,9.664,1.776,5.729,19.958,0.141
2000,238,137,9.943,1.839,6.305,19.408,0.208
4000,247,146,10.886,1.926,8.203,22.096,0.231

Dilithium2 — 500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,412,311,23.887,5.294,13.591,57.609,0.389
1000,463,362,25.813,4.871,14.246,66.403,0.415
1500,556,456,27.148,5.182,14.041,71.948,0.523
2000,459,358,27.816,4.865,15.828,74.227,0.529
4000,649,548,30.070,4.945,13.400,61.738,0.574

Dilithium2 — 1000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,1881,1780,41.539,8.702,20.419,87.424,0.516
1000,2619,2518,44.191,9.056,19.581,87.671,2.035
1500,4018,3918,43.952,9.645,20.756,90.033,1.969
2000,5756,5656,45.624,9.762,20.713,82.108,1.419
4000,8917,8816,44.952,11.117,20.525,93.835,2.786

Dilithium2 — 1500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,8504,8404,55.296,11.356,28.591,96.084,5.024
1000,13750,13648,58.989,10.132,31.970,82.794,3.685
1500,16007,15906,56.986,10.147,32.211,100.045,4.338
2000,20016,19915,59.522,11.011,31.312,91.827,6.245
4000,28748,28647,62.788,11.058,29.999,110.496,5.507

Dilithium2 — 2000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,18886,18785,69.896,7.076,43.471,92.830,9.473
1000,29487,29386,74.567,5.525,56.308,93.777,4.381
1500,33693,33592,78.271,8.236,47.498,103.018,7.762
2000,38910,38810,80.133,5.510,51.699,106.628,7.303
4000,63892,63792,85.977,4.571,56.363,117.072,7.945

SPHINCS+ — 500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,3196,3095,46.310,9.462,21.012,89.726,1.243
1000,6790,6689,48.035,9.635,22.020,94.159,2.291
1500,7774,7674,48.397,10.419,20.782,93.013,2.047
2000,10238,10138,49.170,10.574,22.307,92.746,1.965
4000,16445,16344,49.932,12.247,20.942,102.180,3.649

SPHINCS+ — 1000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,34983,34882,79.961,9.472,39.281,105.252,6.556
1000,54098,53997,80.388,8.851,32.144,123.123,14.249
1500,68108,68008,91.744,7.182,67.951,109.973,8.255
2000,87116,87015,99.433,9.221,45.626,125.277,8.123
4000,138282,138181,104.499,2.858,77.629,117.330,8.012

SPHINCS+ — 1500 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,80093,79992,116.818,6.343,85.310,140.111,11.883
1000,125672,125571,129.615,2.919,103.586,154.043,9.807
1500,163629,163528,130.992,4.364,102.613,160.513,11.746
2000,203546,203445,142.920,0.000,130.007,165.673,10.569
4000,324651,324550,142.585,1.572,108.098,169.102,16.441

SPHINCS+ — 2000 tx
N,Liczba bloków,Bloki osierocone,Mean [s],Std [s],Min [s],Max [s],Odchyl. Mean między seedami [s]
500,118585,118484,150.346,0.000,130.601,201.426,20.050
1000,199726,199625,156.490,0.000,135.246,185.420,18.912
1500,268642,268541,169.171,0.000,143.291,194.680,15.221
2000,325607,325506,175.006,0.000,130.311,213.437,24.897
4000,569264,569162,180.427,0.000,169.234,200.912,10.196

