algorytm,tx_count,powtorzenie,czas_ms
sphincs,10,0,21.6398
sphincs,10,1,25.0700
sphincs,10,2,24.8979
sphincs,10,3,22.4260
sphincs,10,4,23.9245
sphincs,10,5,25.7737
sphincs,10,6,21.8988
sphincs,10,7,24.2613
sphincs,10,8,22.4953
sphincs,10,9,23.3696
sphincs,10,10,23.0985
sphincs,10,11,27.7364
sphincs,10,12,30.9551
sphincs,10,13,50.1982
sphincs,10,14,38.2027
sphincs,10,15,45.8586
sphincs,10,16,23.0003
sphincs,10,17,25.6014
sphincs,10,18,20.2431
sphincs,10,19,25.7478
sphincs,10,20,26.1560
sphincs,10,21,22.6742
sphincs,10,22,24.2125
sphincs,10,23,20.9723
sphincs,10,24,24.7180
sphincs,10,25,22.0812
sphincs,10,26,23.2003
sphincs,10,27,24.1372
sphincs,10,28,22.0175
sphincs,10,29,23.7648
sphincs,10,30,20.8505
sphincs,10,31,24.2075
sphincs,10,32,21.8483
sphincs,10,33,28.8221
sphincs,10,34,46.0423
sphincs,10,35,74.7725
sphincs,10,36,29.2676
sphincs,10,37,22.8242
sphincs,10,38,24.1937
sphincs,10,39,22.7004
sphincs,10,40,23.0705
sphincs,10,41,23.1172
sphincs,10,42,22.4554
sphincs,10,43,24.3579
sphincs,10,44,20.7882
sphincs,10,45,23.9639
sphincs,10,46,23.3830
sphincs,10,47,23.6151
sphincs,10,48,20.9756
sphincs,10,49,25.0728
sphincs,50,0,145.1372
sphincs,50,1,150.8597
sphincs,50,2,112.1895
sphincs,50,3,112.0051
sphincs,50,4,114.2839
sphincs,50,5,113.6916
sphincs,50,6,199.9890
sphincs,50,7,116.2401
sphincs,50,8,117.0337
sphincs,50,9,121.5378
sphincs,50,10,113.4869
sphincs,50,11,156.1233
sphincs,50,12,267.1013
sphincs,50,13,237.1086
sphincs,50,14,242.9265
sphincs,50,15,210.0325
sphincs,50,16,228.2910
sphincs,50,17,196.7960
sphincs,50,18,406.0476
sphincs,50,19,435.1579
sphincs,50,20,415.0319
sphincs,50,21,347.0547
sphincs,50,22,294.7957
sphincs,50,23,295.0992
sphincs,50,24,319.1046
sphincs,50,25,480.1436
sphincs,50,26,294.6139
sphincs,50,27,268.2577
sphincs,50,28,223.9258
sphincs,50,29,173.7816
sphincs,50,30,159.9705
sphincs,50,31,215.8659
sphincs,50,32,194.9159
sphincs,50,33,185.0052
sphincs,50,34,189.6285
sphincs,50,35,157.8402
sphincs,50,36,216.5974
sphincs,50,37,275.0481
sphincs,50,38,240.4122
sphincs,50,39,224.7361
sphincs,50,40,164.9090
sphincs,50,41,180.9704
sphincs,50,42,147.4134
sphincs,50,43,146.3801
sphincs,50,44,130.5711
sphincs,50,45,118.3220
sphincs,50,46,136.0436
sphincs,50,47,140.2877
sphincs,50,48,169.6134
sphincs,50,49,175.0678
sphincs,100,0,232.1370
sphincs,100,1,294.0444
sphincs,100,2,265.1469
sphincs,100,3,299.7686
sphincs,100,4,295.8373
sphincs,100,5,295.2816
sphincs,100,6,472.7040
sphincs,100,7,476.4969
sphincs,100,8,373.4233
sphincs,100,9,470.7917
sphincs,100,10,297.4008
sphincs,100,11,330.1952
sphincs,100,12,258.2375
sphincs,100,13,309.1143
sphincs,100,14,216.1455
sphincs,100,15,253.4728
sphincs,100,16,223.7535
sphincs,100,17,293.9369
sphincs,100,18,268.5696
sphincs,100,19,269.9632
sphincs,100,20,311.4411
sphincs,100,21,354.9094
sphincs,100,22,492.1727
sphincs,100,23,348.3307
sphincs,100,24,276.2921
sphincs,100,25,251.0443
sphincs,100,26,252.6375
sphincs,100,27,206.9315
sphincs,100,28,259.4192
sphincs,100,29,260.5254
sphincs,100,30,259.6945
sphincs,100,31,265.0071
sphincs,100,32,275.9079
sphincs,100,33,218.3702
sphincs,100,34,247.8602
sphincs,100,35,230.0368
sphincs,100,36,246.2706
sphincs,100,37,226.3861
sphincs,100,38,260.5378
sphincs,100,39,272.2609
sphincs,100,40,226.2825
sphincs,100,41,284.0662
sphincs,100,42,241.3589
sphincs,100,43,210.9316
sphincs,100,44,255.1011
sphincs,100,45,218.7475
sphincs,100,46,229.3099
sphincs,100,47,215.3235
sphincs,100,48,204.4023
sphincs,100,49,241.4479
sphincs,200,0,470.2144
sphincs,200,1,532.4641
sphincs,200,2,480.6243
sphincs,200,3,550.9602
sphincs,200,4,603.7067
sphincs,200,5,528.0060
sphincs,200,6,465.9364
sphincs,200,7,485.1703
sphincs,200,8,460.4505
sphincs,200,9,476.6314
sphincs,200,10,470.8947
sphincs,200,11,453.2225
sphincs,200,12,432.4466
sphincs,200,13,442.6818
sphincs,200,14,520.2120
sphincs,200,15,534.6913
sphincs,200,16,474.8293
sphincs,200,17,473.4221
sphincs,200,18,452.7119
sphincs,200,19,440.0457
sphincs,200,20,454.6476
sphincs,200,21,451.8489
sphincs,200,22,434.6427
sphincs,200,23,437.0903
sphincs,200,24,503.1432
sphincs,200,25,505.0675
